game,winning_player,player0,player1,player2,player3
0,,RANDOM,RANDOM,RANDOM,RANDOM
1,,RANDOM,RANDOM,RANDOM,RANDOM
2,,RANDOM,RANDOM,RANDOM,RANDOM
3,,RANDOM,RANDOM,RANDOM,RANDOM
4,,RANDOM,RANDOM,RANDOM,RANDOM
5,,RANDOM,RANDOM,RANDOM,RANDOM
6,0,RANDOM,RANDOM,RANDOM,RANDOM
7,,RANDOM,RANDOM,RANDOM,RANDOM
8,,RANDOM,RANDOM,RANDOM,RANDOM
9,,RANDOM,RANDOM,RANDOM,RANDOM
10,,RANDOM,RANDOM,RANDOM,RANDOM
11,,RANDOM,RANDOM,RANDOM,RANDOM
12,1,RANDOM,RANDOM,RANDOM,RANDOM
13,,RANDOM,RANDOM,RANDOM,RANDOM
14,,RANDOM,RANDOM,RANDOM,RANDOM
15,1,RANDOM,RANDOM,RANDOM,RANDOM
16,,RANDOM,RANDOM,RANDOM,RANDOM
17,,RANDOM,RANDOM,RANDOM,RANDOM
18,,RANDOM,RANDOM,RANDOM,RANDOM
19,0,RANDOM,RANDOM,RANDOM,RANDOM
20,1,RANDOM,RANDOM,RANDOM,RANDOM
21,1,RANDOM,RANDOM,RANDOM,RANDOM
22,,RANDOM,RANDOM,RANDOM,RANDOM
23,0,RANDOM,RANDOM,RANDOM,RANDOM
24,3,RANDOM,RANDOM,RANDOM,RANDOM
25,3,RANDOM,RANDOM,RANDOM,RANDOM
26,,RANDOM,RANDOM,RANDOM,RANDOM
27,,RANDOM,RANDOM,RANDOM,RANDOM
28,,RANDOM,RANDOM,RANDOM,RANDOM
29,,RANDOM,RANDOM,RANDOM,RANDOM
30,,RANDOM,RANDOM,RANDOM,RANDOM
31,,RANDOM,RANDOM,RANDOM,RANDOM
32,,RANDOM,RANDOM,RANDOM,RANDOM
33,1,RANDOM,RANDOM,RANDOM,RANDOM
34,,RANDOM,RANDOM,RANDOM,RANDOM
35,,RANDOM,RANDOM,RANDOM,RANDOM
36,1,RANDOM,RANDOM,RANDOM,RANDOM
37,,RANDOM,RANDOM,RANDOM,RANDOM
38,1,RANDOM,RANDOM,RANDOM,RANDOM
39,,RANDOM,RANDOM,RANDOM,RANDOM
40,,RANDOM,RANDOM,RANDOM,RANDOM
41,,RANDOM,RANDOM,RANDOM,RANDOM
42,1,RANDOM,RANDOM,RANDOM,RANDOM
43,,RANDOM,RANDOM,RANDOM,RANDOM
44,,RANDOM,RANDOM,RANDOM,RANDOM
45,3,RANDOM,RANDOM,RANDOM,RANDOM
46,1,RANDOM,RANDOM,RANDOM,RANDOM
47,3,RANDOM,RANDOM,RANDOM,RANDOM
48,,RANDOM,RANDOM,RANDOM,RANDOM
49,2,RANDOM,RANDOM,RANDOM,RANDOM
50,,RANDOM,RANDOM,RANDOM,RANDOM
51,0,RANDOM,RANDOM,RANDOM,RANDOM
52,,RANDOM,RANDOM,RANDOM,RANDOM
53,,RANDOM,RANDOM,RANDOM,RANDOM
54,,RANDOM,RANDOM,RANDOM,RANDOM
55,,RANDOM,RANDOM,RANDOM,RANDOM
56,1,RANDOM,RANDOM,RANDOM,RANDOM
57,,RANDOM,RANDOM,RANDOM,RANDOM
58,,RANDOM,RANDOM,RANDOM,RANDOM
59,,RANDOM,RANDOM,RANDOM,RANDOM
60,,RANDOM,RANDOM,RANDOM,RANDOM
61,,RANDOM,RANDOM,RANDOM,RANDOM
62,3,RANDOM,RANDOM,RANDOM,RANDOM
63,,RANDOM,RANDOM,RANDOM,RANDOM
64,3,RANDOM,RANDOM,RANDOM,RANDOM
65,0,RANDOM,RANDOM,RANDOM,RANDOM
66,,RANDOM,RANDOM,RANDOM,RANDOM
67,,RANDOM,RANDOM,RANDOM,RANDOM
68,,RANDOM,RANDOM,RANDOM,RANDOM
69,0,RANDOM,RANDOM,RANDOM,RANDOM
70,,RANDOM,RANDOM,RANDOM,RANDOM
71,1,RANDOM,RANDOM,RANDOM,RANDOM
72,,RANDOM,RANDOM,RANDOM,RANDOM
73,,RANDOM,RANDOM,RANDOM,RANDOM
74,,RANDOM,RANDOM,RANDOM,RANDOM
75,,RANDOM,RANDOM,RANDOM,RANDOM
76,,RANDOM,RANDOM,RANDOM,RANDOM
77,,RANDOM,RANDOM,RANDOM,RANDOM
78,,RANDOM,RANDOM,RANDOM,RANDOM
79,0,RANDOM,RANDOM,RANDOM,RANDOM
80,2,RANDOM,RANDOM,RANDOM,RANDOM
81,,RANDOM,RANDOM,RANDOM,RANDOM
82,,RANDOM,RANDOM,RANDOM,RANDOM
83,3,RANDOM,RANDOM,RANDOM,RANDOM
84,0,RANDOM,RANDOM,RANDOM,RANDOM
85,,RANDOM,RANDOM,RANDOM,RANDOM
86,,RANDOM,RANDOM,RANDOM,RANDOM
87,,RANDOM,RANDOM,RANDOM,RANDOM
88,,RANDOM,RANDOM,RANDOM,RANDOM
89,,RANDOM,RANDOM,RANDOM,RANDOM
90,,RANDOM,RANDOM,RANDOM,RANDOM
91,,RANDOM,RANDOM,RANDOM,RANDOM
92,,RANDOM,RANDOM,RANDOM,RANDOM
93,3,RANDOM,RANDOM,RANDOM,RANDOM
94,,RANDOM,RANDOM,RANDOM,RANDOM
95,0,RANDOM,RANDOM,RANDOM,RANDOM
96,,RANDOM,RANDOM,RANDOM,RANDOM
97,,RANDOM,RANDOM,RANDOM,RANDOM
98,,RANDOM,RANDOM,RANDOM,RANDOM
99,,RANDOM,RANDOM,RANDOM,RANDOM
100,,RANDOM,RANDOM,RANDOM,RANDOM
101,1,RANDOM,RANDOM,RANDOM,RANDOM
102,,RANDOM,RANDOM,RANDOM,RANDOM
103,,RANDOM,RANDOM,RANDOM,RANDOM
104,2,RANDOM,RANDOM,RANDOM,RANDOM
105,2,RANDOM,RANDOM,RANDOM,RANDOM
106,,RANDOM,RANDOM,RANDOM,RANDOM
107,,RANDOM,RANDOM,RANDOM,RANDOM
108,,RANDOM,RANDOM,RANDOM,RANDOM
109,,RANDOM,RANDOM,RANDOM,RANDOM
110,1,RANDOM,RANDOM,RANDOM,RANDOM
111,,RANDOM,RANDOM,RANDOM,RANDOM
112,3,RANDOM,RANDOM,RANDOM,RANDOM
113,,RANDOM,RANDOM,RANDOM,RANDOM
114,2,RANDOM,RANDOM,RANDOM,RANDOM
115,0,RANDOM,RANDOM,RANDOM,RANDOM
116,,RANDOM,RANDOM,RANDOM,RANDOM
117,1,RANDOM,RANDOM,RANDOM,RANDOM
118,2,RANDOM,RANDOM,RANDOM,RANDOM
119,0,RANDOM,RANDOM,RANDOM,RANDOM
120,2,RANDOM,RANDOM,RANDOM,RANDOM
121,,RANDOM,RANDOM,RANDOM,RANDOM
122,,RANDOM,RANDOM,RANDOM,RANDOM
123,3,RANDOM,RANDOM,RANDOM,RANDOM
124,,RANDOM,RANDOM,RANDOM,RANDOM
125,,RANDOM,RANDOM,RANDOM,RANDOM
126,1,RANDOM,RANDOM,RANDOM,RANDOM
127,,RANDOM,RANDOM,RANDOM,RANDOM
128,,RANDOM,RANDOM,RANDOM,RANDOM
129,,RANDOM,RANDOM,RANDOM,RANDOM
130,,RANDOM,RANDOM,RANDOM,RANDOM
131,,RANDOM,RANDOM,RANDOM,RANDOM
132,,RANDOM,RANDOM,RANDOM,RANDOM
133,,RANDOM,RANDOM,RANDOM,RANDOM
134,3,RANDOM,RANDOM,RANDOM,RANDOM
135,0,RANDOM,RANDOM,RANDOM,RANDOM
136,,RANDOM,RANDOM,RANDOM,RANDOM
137,,RANDOM,RANDOM,RANDOM,RANDOM
138,,RANDOM,RANDOM,RANDOM,RANDOM
139,,RANDOM,RANDOM,RANDOM,RANDOM
140,2,RANDOM,RANDOM,RANDOM,RANDOM
141,,RANDOM,RANDOM,RANDOM,RANDOM
142,,RANDOM,RANDOM,RANDOM,RANDOM
143,2,RANDOM,RANDOM,RANDOM,RANDOM
144,,RANDOM,RANDOM,RANDOM,RANDOM
145,,RANDOM,RANDOM,RANDOM,RANDOM
146,,RANDOM,RANDOM,RANDOM,RANDOM
147,,RANDOM,RANDOM,RANDOM,RANDOM
148,0,RANDOM,RANDOM,RANDOM,RANDOM
149,,RANDOM,RANDOM,RANDOM,RANDOM
150,,RANDOM,RANDOM,RANDOM,RANDOM
151,,RANDOM,RANDOM,RANDOM,RANDOM
152,,RANDOM,RANDOM,RANDOM,RANDOM
153,,RANDOM,RANDOM,RANDOM,RANDOM
154,,RANDOM,RANDOM,RANDOM,RANDOM
155,,RANDOM,RANDOM,RANDOM,RANDOM
156,0,RANDOM,RANDOM,RANDOM,RANDOM
157,,RANDOM,RANDOM,RANDOM,RANDOM
158,,RANDOM,RANDOM,RANDOM,RANDOM
159,,RANDOM,RANDOM,RANDOM,RANDOM
160,,RANDOM,RANDOM,RANDOM,RANDOM
161,,RANDOM,RANDOM,RANDOM,RANDOM
162,,RANDOM,RANDOM,RANDOM,RANDOM
163,,RANDOM,RANDOM,RANDOM,RANDOM
164,,RANDOM,RANDOM,RANDOM,RANDOM
165,,RANDOM,RANDOM,RANDOM,RANDOM
166,0,RANDOM,RANDOM,RANDOM,RANDOM
167,,RANDOM,RANDOM,RANDOM,RANDOM
168,,RANDOM,RANDOM,RANDOM,RANDOM
169,,RANDOM,RANDOM,RANDOM,RANDOM
170,,RANDOM,RANDOM,RANDOM,RANDOM
171,,RANDOM,RANDOM,RANDOM,RANDOM
172,,RANDOM,RANDOM,RANDOM,RANDOM
173,,RANDOM,RANDOM,RANDOM,RANDOM
174,0,RANDOM,RANDOM,RANDOM,RANDOM
175,,RANDOM,RANDOM,RANDOM,RANDOM
176,,RANDOM,RANDOM,RANDOM,RANDOM
177,,RANDOM,RANDOM,RANDOM,RANDOM
178,0,RANDOM,RANDOM,RANDOM,RANDOM
179,,RANDOM,RANDOM,RANDOM,RANDOM
180,0,RANDOM,RANDOM,RANDOM,RANDOM
181,,RANDOM,RANDOM,RANDOM,RANDOM
182,,RANDOM,RANDOM,RANDOM,RANDOM
183,,RANDOM,RANDOM,RANDOM,RANDOM
184,,RANDOM,RANDOM,RANDOM,RANDOM
185,,RANDOM,RANDOM,RANDOM,RANDOM
186,,RANDOM,RANDOM,RANDOM,RANDOM
187,3,RANDOM,RANDOM,RANDOM,RANDOM
188,,RANDOM,RANDOM,RANDOM,RANDOM
189,,RANDOM,RANDOM,RANDOM,RANDOM
190,,RANDOM,RANDOM,RANDOM,RANDOM
191,,RANDOM,RANDOM,RANDOM,RANDOM
192,,RANDOM,RANDOM,RANDOM,RANDOM
193,0,RANDOM,RANDOM,RANDOM,RANDOM
194,,RANDOM,RANDOM,RANDOM,RANDOM
195,0,RANDOM,RANDOM,RANDOM,RANDOM
196,,RANDOM,RANDOM,RANDOM,RANDOM
197,2,RANDOM,RANDOM,RANDOM,RANDOM
198,,RANDOM,RANDOM,RANDOM,RANDOM
199,1,RANDOM,RANDOM,RANDOM,RANDOM
200,,RANDOM,RANDOM,RANDOM,RANDOM
201,,RANDOM,RANDOM,RANDOM,RANDOM
202,,RANDOM,RANDOM,RANDOM,RANDOM
203,,RANDOM,RANDOM,RANDOM,RANDOM
204,3,RANDOM,RANDOM,RANDOM,RANDOM
205,,RANDOM,RANDOM,RANDOM,RANDOM
206,,RANDOM,RANDOM,RANDOM,RANDOM
207,,RANDOM,RANDOM,RANDOM,RANDOM
208,3,RANDOM,RANDOM,RANDOM,RANDOM
209,,RANDOM,RANDOM,RANDOM,RANDOM
210,,RANDOM,RANDOM,RANDOM,RANDOM
211,0,RANDOM,RANDOM,RANDOM,RANDOM
212,0,RANDOM,RANDOM,RANDOM,RANDOM
213,,RANDOM,RANDOM,RANDOM,RANDOM
214,,RANDOM,RANDOM,RANDOM,RANDOM
215,,RANDOM,RANDOM,RANDOM,RANDOM
216,3,RANDOM,RANDOM,RANDOM,RANDOM
217,1,RANDOM,RANDOM,RANDOM,RANDOM
218,,RANDOM,RANDOM,RANDOM,RANDOM
219,,RANDOM,RANDOM,RANDOM,RANDOM
220,,RANDOM,RANDOM,RANDOM,RANDOM
221,,RANDOM,RANDOM,RANDOM,RANDOM
222,,RANDOM,RANDOM,RANDOM,RANDOM
223,,RANDOM,RANDOM,RANDOM,RANDOM
224,,RANDOM,RANDOM,RANDOM,RANDOM
225,,RANDOM,RANDOM,RANDOM,RANDOM
226,3,RANDOM,RANDOM,RANDOM,RANDOM
227,,RANDOM,RANDOM,RANDOM,RANDOM
228,2,RANDOM,RANDOM,RANDOM,RANDOM
229,,RANDOM,RANDOM,RANDOM,RANDOM
230,3,RANDOM,RANDOM,RANDOM,RANDOM
231,,RANDOM,RANDOM,RANDOM,RANDOM
232,,RANDOM,RANDOM,RANDOM,RANDOM
233,,RANDOM,RANDOM,RANDOM,RANDOM
234,1,RANDOM,RANDOM,RANDOM,RANDOM
235,,RANDOM,RANDOM,RANDOM,RANDOM
236,,RANDOM,RANDOM,RANDOM,RANDOM
237,,RANDOM,RANDOM,RANDOM,RANDOM
238,,RANDOM,RANDOM,RANDOM,RANDOM
239,1,RANDOM,RANDOM,RANDOM,RANDOM
240,,RANDOM,RANDOM,RANDOM,RANDOM
241,0,RANDOM,RANDOM,RANDOM,RANDOM
242,,RANDOM,RANDOM,RANDOM,RANDOM
243,,RANDOM,RANDOM,RANDOM,RANDOM
244,,RANDOM,RANDOM,RANDOM,RANDOM
245,0,RANDOM,RANDOM,RANDOM,RANDOM
246,,RANDOM,RANDOM,RANDOM,RANDOM
247,,RANDOM,RANDOM,RANDOM,RANDOM
248,3,RANDOM,RANDOM,RANDOM,RANDOM
249,,RANDOM,RANDOM,RANDOM,RANDOM
250,,RANDOM,RANDOM,RANDOM,RANDOM
251,0,RANDOM,RANDOM,RANDOM,RANDOM
252,,RANDOM,RANDOM,RANDOM,RANDOM
253,1,RANDOM,RANDOM,RANDOM,RANDOM
254,,RANDOM,RANDOM,RANDOM,RANDOM
255,,RANDOM,RANDOM,RANDOM,RANDOM
256,,RANDOM,RANDOM,RANDOM,RANDOM
257,,RANDOM,RANDOM,RANDOM,RANDOM
258,,RANDOM,RANDOM,RANDOM,RANDOM
259,,RANDOM,RANDOM,RANDOM,RANDOM
260,,RANDOM,RANDOM,RANDOM,RANDOM
261,,RANDOM,RANDOM,RANDOM,RANDOM
262,,RANDOM,RANDOM,RANDOM,RANDOM
263,3,RANDOM,RANDOM,RANDOM,RANDOM
264,,RANDOM,RANDOM,RANDOM,RANDOM
265,1,RANDOM,RANDOM,RANDOM,RANDOM
266,,RANDOM,RANDOM,RANDOM,RANDOM
267,,RANDOM,RANDOM,RANDOM,RANDOM
268,,RANDOM,RANDOM,RANDOM,RANDOM
269,,RANDOM,RANDOM,RANDOM,RANDOM
270,0,RANDOM,RANDOM,RANDOM,RANDOM
271,,RANDOM,RANDOM,RANDOM,RANDOM
272,,RANDOM,RANDOM,RANDOM,RANDOM
273,2,RANDOM,RANDOM,RANDOM,RANDOM
274,,RANDOM,RANDOM,RANDOM,RANDOM
275,,RANDOM,RANDOM,RANDOM,RANDOM
276,,RANDOM,RANDOM,RANDOM,RANDOM
277,,RANDOM,RANDOM,RANDOM,RANDOM
278,,RANDOM,RANDOM,RANDOM,RANDOM
279,2,RANDOM,RANDOM,RANDOM,RANDOM
280,,RANDOM,RANDOM,RANDOM,RANDOM
281,,RANDOM,RANDOM,RANDOM,RANDOM
282,,RANDOM,RANDOM,RANDOM,RANDOM
283,,RANDOM,RANDOM,RANDOM,RANDOM
284,,RANDOM,RANDOM,RANDOM,RANDOM
285,,RANDOM,RANDOM,RANDOM,RANDOM
286,,RANDOM,RANDOM,RANDOM,RANDOM
287,3,RANDOM,RANDOM,RANDOM,RANDOM
288,,RANDOM,RANDOM,RANDOM,RANDOM
289,,RANDOM,RANDOM,RANDOM,RANDOM
290,0,RANDOM,RANDOM,RANDOM,RANDOM
291,,RANDOM,RANDOM,RANDOM,RANDOM
292,,RANDOM,RANDOM,RANDOM,RANDOM
293,,RANDOM,RANDOM,RANDOM,RANDOM
294,,RANDOM,RANDOM,RANDOM,RANDOM
295,0,RANDOM,RANDOM,RANDOM,RANDOM
296,,RANDOM,RANDOM,RANDOM,RANDOM
297,,RANDOM,RANDOM,RANDOM,RANDOM
298,,RANDOM,RANDOM,RANDOM,RANDOM
299,,RANDOM,RANDOM,RANDOM,RANDOM
300,0,RANDOM,RANDOM,RANDOM,RANDOM
301,0,RANDOM,RANDOM,RANDOM,RANDOM
302,,RANDOM,RANDOM,RANDOM,RANDOM
303,0,RANDOM,RANDOM,RANDOM,RANDOM
304,3,RANDOM,RANDOM,RANDOM,RANDOM
305,3,RANDOM,RANDOM,RANDOM,RANDOM
306,,RANDOM,RANDOM,RANDOM,RANDOM
307,3,RANDOM,RANDOM,RANDOM,RANDOM
308,,RANDOM,RANDOM,RANDOM,RANDOM
309,,RANDOM,RANDOM,RANDOM,RANDOM
310,,RANDOM,RANDOM,RANDOM,RANDOM
311,2,RANDOM,RANDOM,RANDOM,RANDOM
312,,RANDOM,RANDOM,RANDOM,RANDOM
313,,RANDOM,RANDOM,RANDOM,RANDOM
314,2,RANDOM,RANDOM,RANDOM,RANDOM
315,,RANDOM,RANDOM,RANDOM,RANDOM
316,,RANDOM,RANDOM,RANDOM,RANDOM
317,0,RANDOM,RANDOM,RANDOM,RANDOM
318,,RANDOM,RANDOM,RANDOM,RANDOM
319,,RANDOM,RANDOM,RANDOM,RANDOM
320,,RANDOM,RANDOM,RANDOM,RANDOM
321,,RANDOM,RANDOM,RANDOM,RANDOM
322,,RANDOM,RANDOM,RANDOM,RANDOM
323,,RANDOM,RANDOM,RANDOM,RANDOM
324,2,RANDOM,RANDOM,RANDOM,RANDOM
325,,RANDOM,RANDOM,RANDOM,RANDOM
326,,RANDOM,RANDOM,RANDOM,RANDOM
327,,RANDOM,RANDOM,RANDOM,RANDOM
328,,RANDOM,RANDOM,RANDOM,RANDOM
329,,RANDOM,RANDOM,RANDOM,RANDOM
330,1,RANDOM,RANDOM,RANDOM,RANDOM
331,,RANDOM,RANDOM,RANDOM,RANDOM
332,,RANDOM,RANDOM,RANDOM,RANDOM
